Primal Gaming,8,3,154,77
Dosias Sex Squad,8,4,178,120
Dirty pizza boyz,8,4,175,118
ArdentCS,8,4,175,121
TALK SHIT GET HIT,8,4,173,115
Vyb,8,4,171,99
Instinct e-Sports,8,4,170,134
HiTREG Gaming,8,4,165,136
9 Lives,8,4,165,151
G-Unit,8,4,164,113
Vicious Kitties,8,4,164,130
Mission San Jose High,8,4,163,138
PureAimNoBrain,8,4,162,106
Kulas East Squad,8,4,162,107
toxic scout buyers,8,4,161,140
TacticalTurtles,8,4,160,115
Forever KnighT,8,4,160,118
Revenant Esports,8,4,160,138
Lucky Draw,8,4,156,119
Jacket_Esports,8,4,154,112
Certified Bangers Only,8,4,153,122
Gargantua,8,4,146,138
Kahoot Squad,8,5,192,129
Team Imperium,8,5,187,144
OceanBorn,8,5,186,140
POGGGG,8,5,185,148
BULLRIDERS,8,5,185,154
marxmen,8,5,183,122
IceCold Esports,8,5,182,129
Flanc Gauche,8,5,182,141
HavoK CS,8,5,181,121
Doinks in Amish,8,5,181,170
LUCKY,8,5,180,117
DEATHGRIP,8,5,180,123
Nightly sucks,8,5,180,125
BAD NAME,8,5,180,135
Derek s Daddys,8,5,179,112
scarperz,8,5,179,129
Victory Vapers,8,5,179,132
tosay saves the ocean,8,5,179,146
Derank Squadron 7,8,5,178,141
Xyston,8,5,178,142
Team Plasma,8,5,177,109
2cans trashcans,8,5,177,139
conflicted,8,5,177,139
Team_SF,8,5,177,144
FurysEdge,8,5,175,130
Surgical Summer,8,5,175,142
forsaken,8,5,174,112
Trivialize,8,5,174,163
Process the Trust,8,5,173,89
Just Build Up,8,5,173,153
Zealgg,8,5,172,121
PathosGG,8,5,172,134
Wet Runners,8,5,171,139
FSG Academy,8,5,170,136
The Road Crew,8,5,170,146
Cal O Legends,8,5,169,124
ChoNation,8,5,169,134
unLucky-,8,5,169,139
Sector Clear Gaming,8,5,168,119
Head Cashier,8,5,168,124
1-800-Sudain,8,5,166,115
Washed_Up,8,5,166,150
rankONE,8,5,165,137
Dusty Divot Defenders,8,5,164,114
Demise eSports,8,5,164,121
NOA Reborn,8,5,164,139
Akatsuki Vibes,8,5,163,116
GRAPE,8,5,163,147
PogChamp,8,5,162,133
ReverseTeam,8,5,158,154
HydroGG,8,5,157,121
Keep It Simple,8,5,155,145
YEEZYS,8,5,154,137
the Team Team,8,5,151,133
PARTY cause we cant read,8,5,149,157
Bork Boiz CS,8,6,198,152
DramaHype Esports,8,6,191,119
Yikes,8,6,190,170
Carbon Esports,8,6,184,158
Full Auto Gaming,8,6,183,151
Fluccle,8,6,182,151
NICE,8,6,179,145
LMNTRiX,8,6,173,164
Monkey-Business,8,6,167,147
THE BONGO BROTHERS,8,6,166,151
Female Instant-Shock,8,6,156,148
GetExpired,8,6,155,113
The Westwoods,8,6,150,149
adreNs money crew,7,4,150,121
C Rank  Aim,7,4,144,112
G0MI,7,5,172,126
Why did we do this,7,5,170,128
The Basketball Analogy,7,5,167,95
Shanes Grandma,7,5,166,134
Lares Cute Boys,7,5,164,132
Above and Beyond,7,5,163,120
HasBeen,7,5,163,136
Basement Dwellers,7,5,162,118
Slamina,7,5,161,128
OnlyRealMenDrinkMikes,7,5,161,129
La Sauce,7,5,161,134
iLLusion eSports,7,5,160,154
no bueno,7,5,159,118
Sweep the Leg,7,5,159,121
Rangers E-sports,7,5,158,104
The Bus Drivers-,7,5,153,110
KerimIshotterthanMargo,7,5,152,134
Azorian,7,5,148,114
Wet Your Pants,7,5,146,132
Until Aegis,7,5,142,135
Astroworld,7,5,135,131
Team Venom,7,5,132,115
Wills Money Crew,7,5,130,105
WestESports,7,6,181,142
Kulas Nation,7,6,181,143
Greater Albania,7,6,180,142
StruggleBus,7,6,180,162
DESTROYTHETHRONE,7,6,178,133
Order to the Chaos,7,6,178,135
Revelations CS,7,6,177,144
FireNation,7,6,176,124
BAWLS,7,6,176,144
LiftedCs,7,6,176,145
ionik,7,6,174,119
Relentless E-sports,7,6,173,150
North American Cs Lads,7,6,173,157
Primus Victoribus,7,6,172,134
HorizonGG,7,6,172,152
Backseat Mafia,7,6,170,134
Team Intervention,7,6,170,172
ParadoxSeveN,7,6,169,125
BattleBros,7,6,168,133
Seal Team Flicks,7,6,167,146
DauntLess CS,7,6,166,154
MadNecessity,7,6,165,124
Bot Squashers,7,6,164,140
The Blundering Fools,7,6,163,117
Bamboozle Boys,7,6,163,130
ExaltedGG,7,6,163,131
GreyGods Esports,7,6,162,119
Quantum_Gaming,7,6,162,137
Unorthodox,7,6,162,142
Team Lean,7,6,162,150
small pp crew,7,6,160,117
iLLuSioN GaMing X,7,6,160,152
Artic CSGO,7,6,159,133
Open Szn,7,6,158,159
-TrapHaus-,7,6,157,133
AcTiv,7,6,157,153
Gladiator eSports,7,6,156,123
Python eSports,7,6,156,146
Temper,7,6,156,170
Realeza Open,7,6,154,126
Absent Minded,7,6,154,129
